"M,A,A - forecast","M,A,A - lower bound","M,A,A - upper bound",date,,,,,
27353.22226,26974.1066,27732.33792,Nov/ 1/2019,1.57265E+12,,,,
27360.42656,26823.8692,27896.98392,Nov/ 2/2019,1.57274E+12,,,,
27366.58791,26709.08777,28024.08805,Nov/ 3/2019,1.57283E+12,,,,
27390.32147,26630.54819,28150.09475,Nov/ 4/2019,1.57292E+12,,,,
27415.63052,26565.47847,28265.78257,Nov/ 5/2019,1.573E+12,,,,
27397.06764,26465.21228,28328.923,Nov/ 6/2019,1.57309E+12,,,,
27399.94309,26392.83407,28407.05211,Nov/ 7/2019,1.57317E+12,,,,
27400.42557,26323.17138,28477.67976,Nov/ 8/2019,1.57326E+12,,,,
27405.0938,26261.84288,28548.34472,Nov/ 9/2019,1.57335E+12,,,,
27412.14949,26206.35831,28617.94067,Nov/10/2019,1.57343E+12,,,,
27417.30531,26151.92545,28682.68517,Nov/11/2019,1.57352E+12,,,,
27400.24149,26077.91383,28722.56915,Nov/12/2019,1.57361E+12,,,,
27421.482,26044.37329,28798.59071,Nov/13/2019,1.57369E+12,,,,
27412.46374,25982.60274,28842.32474,Nov/14/2019,1.57378E+12,,,,
27443.6723,25962.72795,28924.61665,Nov/15/2019,1.57387E+12,,,,
27447.05338,25916.62282,28977.48394,Nov/16/2019,1.57395E+12,,,,
27436.8281,25858.40372,29015.25248,Nov/17/2019,1.57404E+12,,,,
27441.01955,25815.91468,29066.12442,Nov/18/2019,1.57413E+12,,,,
27465.78984,25795.14257,29136.43711,Nov/19/2019,1.57421E+12,,,,
27485.79699,25770.66911,29200.92487,Nov/20/2019,1.5743E+12,,,,
27479.54739,25720.99877,29238.09601,Nov/21/2019,1.57438E+12,,,,
27484.51316,25683.49412,29285.5322,Nov/22/2019,1.57447E+12,,,,
27490.26004,25647.65276,29332.86732,Nov/23/2019,1.57456E+12,,,,
27497.46434,25614.06029,29380.86839,Nov/24/2019,1.57464E+12,,,,
27503.62569,25580.22372,29427.02766,Nov/25/2019,1.57473E+12,,,,
27527.35925,25564.63498,29490.08352,Nov/26/2019,1.57482E+12,,,,
27552.6683,25551.25305,29554.08355,Nov/27/2019,1.5749E+12,,,,
27534.10542,25494.70825,29573.50259,Nov/28/2019,1.57499E+12,,,,
27536.98087,25460.21749,29613.74425,Nov/29/2019,1.57508E+12,,,,
27537.46335,25423.92247,29651.00423,Nov/30/2019,1.57516E+12,,,,
27542.13158,25392.36143,29691.90173,Dec/ 1/2019,1.57525E+12,,,,
27549.18727,25363.7029,29734.67164,Dec/ 2/2019,1.57533E+12,,,,
27554.34309,25333.63914,29775.04704,Dec/ 3/2019,1.57542E+12,,,,
27537.27927,25281.87926,29792.67928,Dec/ 4/2019,1.57551E+12,,,,
27558.51978,25268.83497,29848.20459,Dec/ 5/2019,1.57559E+12,,,,
27549.50152,25225.99354,29873.0095,Dec/ 6/2019,1.57568E+12,,,,
27580.71008,25223.73051,29937.68965,Dec/ 7/2019,1.57577E+12,,,,
27584.09116,25194.03805,29974.14427,Dec/ 8/2019,1.57585E+12,,,,
27573.86588,25151.15085,29996.58091,Dec/ 9/2019,1.57594E+12,,,,
27578.05733,25123.04439,30033.07027,Dec/10/2019,1.57603E+12,,,,
27602.82762,25115.82258,30089.83266,Dec/11/2019,1.57611E+12,,,,
27622.83477,25104.14161,30141.52793,Dec/12/2019,1.5762E+12,,,,
27616.58517,25066.55108,30166.61926,Dec/13/2019,1.57629E+12,,,,
27621.55094,25040.48743,30202.61445,Dec/14/2019,1.57637E+12,,,,
27627.29782,25015.50353,30239.09211,Dec/15/2019,1.57646E+12,,,,
27634.50212,24992.24184,30276.7624,Dec/16/2019,1.57654E+12,,,,
27640.66347,24968.23532,30313.09162,Dec/17/2019,1.57663E+12,,,,
27664.39703,24962.03456,30366.7595,Dec/18/2019,1.57672E+12,,,,
27689.70608,24957.63183,30421.78033,Dec/19/2019,1.5768E+12,,,,
27671.1432,24909.65692,30432.62948,Dec/20/2019,1.57689E+12,,,Nov/ 1/2019,27353.22226
,,,,,,,Nov/ 2/2019,27360.42656
,,,,,,,Nov/ 3/2019,27366.58791
,,,,,,,Nov/ 4/2019,27390.32147
,,,,,,,Nov/ 5/2019,27415.63052
,,,,,,,Nov/ 6/2019,27397.06764
,,,,,,,Nov/ 7/2019,27399.94309
,,,,,,,Nov/ 8/2019,27400.42557
,,,,,,,Nov/ 9/2019,27405.0938
,,,,,,,Nov/10/2019,27412.14949
,,,,,,,Nov/11/2019,27417.30531
,,,,,,,Nov/12/2019,27400.24149
,,,,,,,Nov/13/2019,27421.482
,,,,,,,Nov/14/2019,27412.46374
,,,,,,,Nov/15/2019,27443.6723
,,,,,,,Nov/16/2019,27447.05338
,,,,,,,Nov/17/2019,27436.8281
,,,,,,,Nov/18/2019,27441.01955
,,,,,,,Nov/19/2019,27465.78984
,,,,,,,Nov/20/2019,27485.79699
,,,,,,,Nov/21/2019,27479.54739
,,,,,,,Nov/22/2019,27484.51316
,,,,,,,Nov/23/2019,27490.26004
,,,,,,,Nov/24/2019,27497.46434
,,,,,,,Nov/25/2019,27503.62569
,,,,,,,Nov/26/2019,27527.35925
,,,,,,,Nov/27/2019,27552.6683
,,,,,,,Nov/28/2019,27534.10542
,,,,,,,Nov/29/2019,27536.98087
,,,,,,,Nov/30/2019,27537.46335
,,,,,,,Dec/ 1/2019,27542.13158
,,,,,,,Dec/ 2/2019,27549.18727
,,,,,,,Dec/ 3/2019,27554.34309
,,,,,,,Dec/ 4/2019,27537.27927
,,,,,,,Dec/ 5/2019,27558.51978
,,,,,,,Dec/ 6/2019,27549.50152
,,,,,,,Dec/ 7/2019,27580.71008
,,,,,,,Dec/ 8/2019,27584.09116
,,,,,,,Dec/ 9/2019,27573.86588
,,,,,,,Dec/10/2019,27578.05733
,,,,,,,Dec/11/2019,27602.82762
,,,,,,,Dec/12/2019,27622.83477
,,,,,,,Dec/13/2019,27616.58517
,,,,,,,Dec/14/2019,27621.55094
,,,,,,,Dec/15/2019,27627.29782
,,,,,,,Dec/16/2019,27634.50212
,,,,,,,Dec/17/2019,27640.66347
,,,,,,,Dec/18/2019,27664.39703
,,,,,,,Dec/19/2019,27689.70608
,,,,,,,Dec/20/2019,27671.1432
